;de;para;distancia
468;43057;43020;1.516
469;43057;45575;0.888
470;43124;18346;3.414
471;43124;43101;2.059
472;43110;28050;1.303
473;43110;32096;2.144
474;43110;44411;1.291
475;43072;43066;1.094
476;43072;43040;1.299
477;43072;45436;1.573
478;43063;38287;2.365
479;42924;43022;1.344
480;42924;44416;1.087
481;43109;38064;1.698
482;43109;43023;1.363
483;43081;38249;2.66
484;43081;43102;1.419
485;43054;32095;1.106
486;42925;43049;2.263
487;42925;43319;0.551
488;43075;43101;3.391
489;43090;43036;2.56
490;43090;43139;1.304
491;43090;43013;1.389
492;43090;49313;1.379
493;43099;32091;2.029
494;43139;35870;1.629
495;43139;43090;1.304
496;43139;48063;1.727
497;43035;38062;3.305
498;43044;28103;3.195
499;43044;35729;1.53
500;43044;43024;1.517
501;43096;43123;1.603
502;43096;43062;1.335
503;43096;43040;0.997
504;43149;18562;1.928
505;43149;43133;1.0
506;43149;43115;2.178
507;43089;28099;0.94
508;43089;44394;1.277
509;43100;28130;1.807
510;43100;28110;2.045
511;43100;43033;1.207
512;43012;28099;1.596
513;43012;45287;1.596
514;43150;3889;1.271
515;43150;43047;1.019
516;43150;43051;1.395
517;43150;43106;0.943
518;43023;43109;1.376
519;43023;42854;1.439
520;43079;43997;219.166
521;43077;43126;1.124
522;43070;47880;1.317
523;43056;28046;5.673
524;43066;38287;1.821
525;43066;43072;0.967
526;43098;45783;2.243
527;43098;49153;3.883
528;43005;3868;1.829
529;43005;43142;1.746
530;43005;1633;1.194
531;43062;43096;1.396
532;43062;43061;1.345
533;43024;43044;1.483
534;42926;38642;0.848
535;42926;43059;3.259
536;42926;43555;4.436
537;43103;38554;1.729
538;43085;44254;0.463
539;43085;45783;0.929
540;43091;38111;3.507
541;43091;38484;3.473
542;43091;43080;0.0
543;43038;43031;1.391
544;43038;43061;1.359
545;43118;43137;2.139
546;43047;43150;1.05
547;43047;47880;1.968
548;43033;43100;1.207
549;43033;44421;1.127
550;43071;43010;1.713
551;43112;6971;1.137
