;index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
347;32260;43833;3452689;-236.745.071.411.126;-466.867.017.745.958;UBS CAMPO GRANDE;RUA LIBANIO;13;CAMPO GRANDE;(11)56313181;4679430.0;SP;São Paulo;2016;5;-23.6736025;-46.6854196;R. Libânio, 13 - Campo Grande, São Paulo - SP, 04679-430, Brazil
348;32296;43630;3219771;-2.356.693;-4.665.417;UBS JD DA CONQUISTA II;TRAV SOMOS TODOS IGUAIS;915;JARDIM DA CONQUISTA;(11)2253-9547;8343000.0;SP;São Paulo;2016;5;-23.6070013;-46.44460549999999;Tv. Somos Todos Iguais, 915 - Jardim da Conquista, São Paulo - SP, 08343-530, Brazil
349;32411;44254;3956954;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS PARAISOPOLIS II;RUA PASQUALE GUALUPI;951;PARAISOPOLIS;(11) 35019031;5660000.0;SP;São Paulo;2016;5;-23.6165853;-46.7263429;Rua Pasquale Gallupi, 951 - Paraisópolis, São Paulo - SP, 05660-000, Brazil
350;32429;44398;4049942;-235.477.244.853.967;-46.430.454.254.149;UBS JD SAO PEDRO FRANCISCO ANTONIO CESARONI;RUA SILVIANOPOLIS;370;JARDIM SAO PEDRO;(11)25578938;8420680.0;SP;São Paulo;2016;5;-23.5494203;-46.432926;Rua Silvianópolis, 370 - Jardim Sao Pedro, São Paulo - SP, 08420-680, Brazil
351;32499;44059;3708411;-2.351.016;-4.674.613;AMA UBS INTEGRADA VILA CLARA;RUA ROLANDO CURTI;701;VILA CLARA;0XX11 5623-6883;4414000.0;SP;São Paulo;2016;5;-23.6722399;-46.637519;R. Rolando Curti, 701 - Vila Clara, São Paulo - SP, Brazil
352;32500;44397;4049934;-2.347.948;-4.642.194;AMA UBS INTEGRADA JARDIM HELENA;AVENIDA KUMAKI AOKI;785;JARDIM HELENA;(11)2581-1661;8090370.0;SP;São Paulo;2016;5;-23.4790803;-46.4195595;Av. Kumaki Aoki, 785 - Jardim Helena, São Paulo - SP, 08090-370, Brazil
353;32509;44072;3738604;-23.567.386.499.999.900;-4.657.038.318.211.270;AMA UBS INTEGRADA PARQUE MARIA DOMITILA;AVENIDA DO ANASTACIO;2421;PQ MARIA DOMITILA;1139034825;5119000.0;SP;São Paulo;2016;5;-23.4898583;-46.73835769999999;Av. do Anastácio, 2421 - Vila Jaguara, São Paulo - SP, 02675-031, Brazil
354;32518;44253;3956946;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS JARDIM OLINDA;RUA CANORI;190;JARDIM OLINDA;(11) 58461788;5765170.0;SP;São Paulo;2016;5;-23.629338;-46.7547266;R. Canori, 190 - Jardim Olinda, São Paulo - SP, 05765-900, Brazil
355;32563;44092;3762831;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS VILA CALU;ESTRADA DO M BOI MIRIM;10416;VILA CALU;(11) 55171139;4948030.0;SP;São Paulo;2016;5;-23.7354565;-46.78872459999999;Estrada do M'Boi Mirim, 10416 - Vila Calu, São Paulo - SP, 04948-030, Brazil
356;32571;44395;4049853;-236.260.879.039.758;-464.695.501.327.501;UBS PQ SAO RAFAEL DR ORA ROSEN;RUA DOUTOR ARISTIDES RICARDO;313;PARQUE SAO RAFAEL;(11)29195006;8311270.0;SP;São Paulo;2016;5;-23.625132;-46.4692235;R. Dr. Aristídes Ricardo, 313 - Parque Sao Rafael, São Paulo - SP, Brazil
357;32604;44394;4049810;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS V DAS BELEZAS ALBERTO AMBROSIO;RUA TTE ISAIAS BRANCO DE ARAUJO;101;VILA DAS BELEZAS;(11)55114712;5841150.0;SP;São Paulo;2016;5;-23.64286;-46.741453;Rua Tenente Isaías Branco de Araújo, 101 - Vila das Belezas, São Paulo - SP, 05841-150, Brazil
358;32607;44018;3651762;-2.343.381;-4.679.117;UBS MORRO DOCE;RUA ALBERTO CALIX;55;MORRO DOCE;(11) 39111756;5267030.0;SP;São Paulo;2016;5;-23.4393856;-46.7941145;Rua Alberto Callix, 55 - Parque Anhangüera, São Paulo - SP, 02675-031, Brazil
359;32616;44019;3651770;-2.343.381;-4.679.117;UBS JARDIM ROSINHA;RUA DALVA DE OLIVEIRA;82;MORRO DOCE;1139164100;5274001.0;SP;São Paulo;2016;5;-23.4374352;-46.7787808;R. Dalva de Oliveira, 82 - Res. Sol Nascente, São Paulo - SP, 05282-010, Brazil
360;32618;44027;3661660;-2.358.308;-46.406.079.999.999.900;UBS INACIO MONTEIRO;RUA INACIO MONTEIRO;3002;CIDADE TIRADENTES;25556455;8490000.0;SP;São Paulo;2016;5;-23.5723853;-46.3945758;R. Inácio Monteiro, 3002 - Jardim Sao Paulo, São Paulo - SP, 08474-480, Brazil
361;32622;44071;3738582;-23.567.386.499.999.900;-4.657.038.318.211.270;AMA UBS INTEGRADA CITY JARAGUA;ESTRADA DE TAIPAS;1648;JARAGUA;11-3947-2690;2991000.0;SP;São Paulo;2016;5;-23.4417309;-46.7342123;Estr. das Taipas, 1648 - Parque Nações Unidas, São Paulo - SP, 02996-055, Brazil
362;32625;44396;4049861;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J SOUZA;RUA MARIA JOSE DE SOUZA;190;JARDIM SOUZA;(11) 55146430;4917080.0;SP;São Paulo;2016;5;-23.6882313;-46.74808489999999;R. Maria José de Souza, 190 - Jardim Souza, São Paulo - SP, 04917-080, Brazil
363;32637;44028;3661741;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS NOVO CAMINHO;RUA ANTONIO DA MATA JUNIOR;943;J SAO LUIS;(11) 58519026;5812030.0;SP;São Paulo;2016;5;-23.656157;-46.735581;Rua Antônio da Mata Júnior, 943 - Jardim São Luís, São Paulo - SP, 05812-030, Brazil
364;32658;44041;3689247;-238.041;-4.671.066;UBS JARDIM IPORA;RUA FORTE DE VILA BELA;29;JARDIM IPORA;;4865170.0;SP;São Paulo;2016;5;-23.7834376;-46.71242830000001;R. Forte de Vila Bela, 29 - Jardim Ipora, São Paulo - SP, 04865-170, Brazil
365;32668;44285;3992101;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS CHACARA DO CONDE;RUA CONSTELACAO DO ESQUADRO;5;J CAMPINAS;(11) 59386611;4858010.0;SP;São Paulo;2016;5;-23.770876;-46.7057222;R. Constelação do Esquadro, 5 - Jardim Santa Fe (Zona Sul), São Paulo - SP, 04858-010, Brazil
366;32673;44399;4049950;-23.553.485.870.360.600;-4.644.472.360.610.820;UBS JOSE BONIFACIO II;RUA MURMURIOS DA TARDE;30;COHAB JOSE BONIFACIO;(11)25211226;8253580.0;SP;São Paulo;2016;5;-23.5537467;-46.4446892;R. Murmúrios da Tarde, 30 - Jardim Bonifacio, São Paulo - SP, 08210-791, Brazil
367;32699;44073;3738663;-23.564.997.911.452.600;-464.184.594.154.344;AMA UBS INTEGRADA FAZENDA DO CARMO;RUA FRANCISCO CARDOSO JUNIOR;10;CIDADE TIRADENTES;(11)25182152;8421105.0;SP;São Paulo;2016;5;-23.5641908;-46.4181196;R. Francisco Cardoso Júnior, 10 - Jardim Aurea, São Paulo - SP, 08421-105, Brazil
